status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,Boeing 737-800NG,Family Leisure,Economy Class,Kuala Lumpur to Kuching,April 2024,3.0,5.0,5.0,4.0,,1.0,4,yes,6,"  Terrible ground service for connecting flight. The first leg flight landed late due to bad weather, told the cabin crew and ground staff that we have connecting flight in 30 minutes. The cabin crew actually did help by informing the ground staff, however there were no ground staff waiting for us at our arrival gate. We had to ask a ground staff that passes by, but were no good help anyway. We were struggling to follow the airport signage heading to the connecting flight gate, but we made it at least. Fortunately, the connecting flight also delayed due to the weather (by 40 minutes!). The flight itself was great, cabin crew were friendly and the food served was delicious. The seat is quite hard and the IFE is sometime unresponsive. Overall, a mediocre flight."
✅ Trip Verified ,Boeing 737-800NG,Family Leisure,Economy Class,Hong Kong to Kuala Lumpur,December 2023,3.0,5.0,5.0,4.0,,5.0,5,yes,9,"  Boarding was efficient and seamless. Got the IFE interior but I was too tired to watch any movies, only open the flight info display and slept most of the flight. The noodle with chicken was surprisingly excellent after having it several times over the years. However, the rest of the meal (bun, fruit, and pudding) was decent at best (could be worse I guess). The cabin crew were very friendly, though they were quite busy as there were VIPs in the flight."
✅ Trip Verified ,Boeing 737-800NG,Family Leisure,Economy Class,Kuala Lumpur to Hong Kong,April 2024,3.0,5.0,4.0,4.0,4.0,5.0,4,yes,8," The flight was on time and boarding went smoothly. The cabin crews were friendly and provided excellent hospitality. The interior of the flight was new and I like the blue color. The seat was pretty hard and it does not have headrest which is a shame. Legroom were fine for a 5'8 guy despite more seats than the previous interior. USB charging ports are available for each seat, but cannot be used during takeoff and landing. The airline replaced its IFE with MHstudio, which is a web-based streaming platform. You have to use your own device, connect to the inflight WIFI (pretty laggy), and open the website to enjoy the entertainments available. Options were great for movies, TV shows, and music. Unfortunately, there is no flight information visual display. The meal I chose was Salmon Frittata and it was pretty disappointing. The portion of the frittata was about 20% of the whole meal, along with one sausage and potato wedges. The pineapple bun and yogurt was decent. The fruit and salted peanut was the star of the meal."
✅ Trip Verified ,Boeing 737-800NG,Family Leisure,Economy Class,Kuching to Kuala Lumpur,April 2024,3.0,5.0,4.0,4.0,,4.0,5,yes,8," The flight was delayed for about 30 minutes due to bad weather. Onboard is the old interior with IFE installed. Seat was slightly hard, and the IFE is sort of responsive. The cabin crew were great despite the late evening flight. Once cruising, the crew serves dinner where I chose chicken with rice. The meal was decent, hot rice and nicely cooked chicken, but slightly bland. The marble cake and salted peanut was excellent (as usual). Overall, the flight was decent for the airline's standard."
✅ Trip Verified ,,Couple Leisure,Economy Class,Kuala Lumpur to Langkawi,April 2024,3.0,2.0,1.0,,,1.0,2,no,1,"  When arriving to destination, I noticed that the clothes in my suitcase were wet. My suitcase has a double zip and is a top brand. I remember the captain telling us in KUL that the flight was delayed due to heavy rain and delays in loading the luggage despite boarding completed. Also initially the flight was delayed by 2 hours. I send a message to Malaysia Airlines with photo of the wet clothes. They answered that they did not find any evidence on their side (meaning I was lying?) and that MA will not pay any compensation, that I never ask for. The only objective of my message was to improve passenger luggage handling. It's not about to happen in the future. So after 2 and half hours delay, we start the flight to Langkawi, and we get a small bag of peanuts and a bottle water."
✅ Trip Verified ,,Family Leisure,Economy Class,Denpasar to Kuala Lumpur,April 2024,3.0,4.0,2.0,1.0,1.0,5.0,4,yes,6,"  All good, but food wasn't great and no entertainment on this flight. This is poor from Malaysia who are trying to cost cut probably due to pressures from AirAsia."
✅ Trip Verified ,,Business,Economy Class,Auckland to Colombo via Malaysia,April 2024,1.0,1.0,1.0,1.0,1.0,3.0,2,no,2,"  I recently traveled on Malaysia Airlines from Auckland to Colombo, and I wanted to share my feedback about my experience. The check-in process in Auckland was smooth and efficient, which was appreciated. I had booked and paid for extra legroom seats, but I noticed that many of the front-end extra seats were empty throughout the flight. This was disappointing as I had specifically paid extra for these seats for comfort. Furthermore, there was a problem with the entertainment unit in my seat, as the touch system was not functioning properly. Despite informing the flight attendants about the issue, I was told that it couldn't be fixed. As a result, I requested to move to a different seat with a functioning entertainment system. However, I was informed that there were no seats available, even though I noticed that there were empty seats in the front rows. I also observed a lady with an infant who was seated in front of us. Her mother, who was supposed to be seated in the front row with the infant bassinet, was moving around, leaving the infant unattended. I requested the flight attendant to ask the lady to return to her allocated seat so that we could use the empty seat for a working entertainment system. However, I was informed that they were unable to ask her to move. Overall, I was disappointed with the lack of assistance and the unavailability of the seats despite the circumstances. "
✅ Trip Verified ,,Couple Leisure,Economy Class,Kuala Lumpur to Perth,February 2024,,,,,,1.0,1,no,1,"  My husband and I passed through Kuala Lumpur Airport on the last day of our honeymoon and had one of the worst days of our lives due to Malaysia Airlines and their terrible transfer desk and staff. Our flight was booked through SriLankan Airlines but the final flight was scheduled to be operated by Malaysia Airlines. At the check in desk in Male, Maldives, the Sri Lanka Airlines representative gave us the boarding passes for our first two flights and informed us we needed to ‘pick up the boarding passes for our third flight at the transfer desk in Colombo or Kuala Lumpur’. The rep did not say we weren’t checked in for this third flight, and confirmed our luggage was also due to make the full journey across the three flights without the need for us to collect or recheck baggage. At the Colombo Airport transfer desk the staff member told us we needed to collect our boarding passes in Kuala Lumpur, which was surprising as this information differed from what the first Sri Lanka Airlines rep told us in Male. Our flight from Colombo to KL landed around 25 minutes late and it then took around 15 minutes to disembark and reach the transfer desk at KLIA. We immediately went to the desk and got there around 7.40am. We spoke to someone on the right side of the desk (separate to the Malaysia Airlines section), and they asked to see our flight itinerary. Given our flight was due to be operated by Malaysia Airlines and the staff member had started serving someone else, we then saw there was a separate transfer desk for Malaysia Airlines. We immediately headed to the long queue at around 7.50am. Although the line was long, we expected it would move at a reasonable pace. After taking turns in the line to use the restroom, when my husband and I were both in the line waiting together we soon realised it was not moving. There was one staff member serving the huge number of passengers and seemingly requiring 10 minutes or more per passenger. We heard others around us talk of their flight time with the two women in front of us saying their flight was prior to ours. Passengers were pushing in the line with disorder in the queue. Many people jumped the line saying they still needed to check in or had children. There was also a very large group being served in one line and they appeared to be at the front of the queue for almost the entire time we were waiting. By the time we finally reached the front of the line around 9am, the staff member rudely spoke to us and told us we missed check in 25 minutes prior. We told her we were waiting over an hour in the queue to which she said she called our names, and she accused us of not being in the queue the entire time.  The staff provided no resolution for us but to rebook our flights, so we proceeded to the gate regardless and again were turned away despite our gate still being open. We were given no option to board our flight. "
✅ Trip Verified ,,Family Leisure,Economy Class,Amritsar to Sydney via Kuala Lumpur,March 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  I booked Asian vegetarian meal both ways however we were offered Hindu veg meal on 2 flights and non veg meal on return flights. Due to that none of us could eat anything excepts some fruits and croissants. Before my return i requested to have my meal changed to jain veg meals so we wont get meat served and on the ticket counter at Amritsar and again at Kuala Lumpur the staff confirmed that our jain meal is confirmed in system however in flight we were served with non veg meals both times . 2) on our arrival to India the whole flight missed their checked baggage's and my family received our baggage's a week after we reached India. In total 7 checked baggage were missing for more than a week before we received them. It had all our clothes, baby food, nappies etc. I had to buy  everything including clothes (had wedding to attend) . We did not had anything with us as the aircraft from Kuala Lumpur to Amritsar was too small that staff had to put out carry bags with checked in luggage. Myself and my kids went out of airport with no jacket. Kuala Lumpur-Amritsar staff was very rude to all the passengers. As it was a very small plane there were no bassinets. Having a baby on lap i was unable to open the flap to keep the food tray and requested crew if i could sit at different seat as there were few lines which were totally empty for dinner as it will be easier for me to eat and keep my 1 year old baby on other seat. The crew bluntly refused and told me i am only allowed to use the seat i paid for. The solution i was offered was that my wife can eat whatever she could eat out of her plate while i hold the baby and then she can hold the child so that i can open the flap to put my tray and eat. When the meal was served (Hindu meal with chicken in it) out of it we could only eat fruits and dessert. For the above issues i put a complaint and filled feedback form which airline sent me but never heard anything back. For my return flight Amritsar to Kuala Lumpur i booked my seats in advance and paid for it so i don't have to go through the same. When i got my boarding pass the seats were different. When i requested to have the seat i paid for staff at airport could not do as they have already given those seats to someone else. So we had to suffer the same thing but at least crew was very accommodating except they could not find us any veg meal. On our return flight from Kuala Lumpur to Sydney was cancelled and we were given new boarding passes as we came out of the flight from Amritsar to Kuala Lumpur. They also provided us with breakfast vouchers, hotel. In my new boarding pass we didn’t receive bassinet as it was confirmed in my flight ticket. I approached transfer counter to confirm if we still have bassinet. the staff told me we don't have it and i need to pay for it. I had to beg the staff to give bassinet as its not our fault that flight is been cancelled. Finally after some time they decided to provide my wife with bassinet but we had to sit in different compartments now. "
✅ Trip Verified ,,Solo Leisure,Economy Class,Kuala Lumpur to Melbourne,April 2023,4.0,5.0,5.0,4.0,,5.0,5,yes,9,"  Overall, the flight was great with very friendly and nice crews on both my return flights. There was once when we flew over the Indonesian airspace and the turbulence was quite bad and felt like dying, the crews were very attentive and look out for me a lot. I am seriously very touched about it. Entertainment wise was alright, they have some blockbuster movies, overall it was okay. During my 8 hours flight, I was given 1 hot meal, 1 snack such as pastry or sandwiches and also the famous MAS peanuts. The food option was great as well. The cabin cleanliness was good especially the toilet. I was also given blanket and pillow during the flight."
Not Verified ,,Family Leisure,Economy Class,Melbourne to Kuala Lumpur,September 2023,3.0,4.0,1.0,1.0,1.0,3.0,1,no,1,"  Very bad customer service. Entertainment was not working, they gave us 25% to use with in 6 months which is unfair. Very slow answering the requests, and the food is bad."
✅ Trip Verified ,,Couple Leisure,Business Class,Kuala Lumpur to Auckland,March 2024,1.0,5.0,4.0,2.0,1.0,3.0,3,no,5,"  Flight left on time and arrived on time. Food and drink was terrific and customer service was excellent. Perfect brewed Coffee - best I have ever had on an airplane. Why do they not advertise alcohol? If you ask you get! Asked and they had Beer, Wine, Spirits and Champagne. Business Class seats are old fashioned style, not luxurious and basic in design. Lie flat bed was very uncomfortable. Seats were worn out and looked like they badly needed a refresh / upgrade. There was no Onboard Wi-Fi or Internet over the whole 10 hour flight."
✅ Trip Verified ,,Couple Leisure,Business Class,Bangkok to Kuala Lumpur,March 2024,3.0,2.0,1.0,1.0,1.0,5.0,3,no,5,"  Short flight just under 2 hours. Only 3 rows of business class seats (4 seats across in 2 x 2) My wife and I were in 2 D & F. We were offered a choice of 3 main meals, requested our choice and were then told none left. How can the 1st row and the last row get served first and the middle row left to last! No TV, No Audio (must bring your own!)"
Not Verified ,,Solo Leisure,Economy Class,Auckland to Chennai via Kuala Lumpur,January 2024,,,,,,1.0,1,no,1," I booked two tickets for my mother and my sister to travel from Chennai to New Zealand. They came to NZ without any problem, however, there was no wheel chair assistance given. When going back i called Malaysia Airlines to ask them to cancel my sisters ticket and keep my mothers ticket as it is because only she will be travelling and i made sure i booked a flexi ticket so i can cancel anytime. When i spoke to the agent she said she has cancelled the ticket for my sister and had my mums kept as it is. But two days before my mothers travel i went online to check the ticket i found that her ticket was kept on hold. So i called the Airlines and they said its been cancelled. I asked them why and they said I requested it to be cancelled. After a day of fight with them and language barrier of them not understanding English properly they found out that its was the 1st agents mistake as she cancelled both the ticket instead. So, i had to rebook the ticket just one day before the travel which was so expensive. And my mother couldn't be in NZ as she was in visitor visa and had to leave the country in a day. Now the airlines knows that its their mistake and took the complaint but they are not refunding the excess money i paid because of the last minute tickets which would be close to $700 to $800 NZD. Its been three months now and they said they will get back in 40 days which was in the beginning of January to be exact 4th of January. We would have made numerous number of calls to the airline and no one are able to give a proper answer and they kept saying their manager would call back which has not happened till now."
✅ Trip Verified ,,Solo Leisure,Economy Class,Manila to Kuala Lumpur,February 2024,3.0,5.0,5.0,1.0,,1.0,5,no,4,"  No boarding pass issued after online check in. Itinerary does not use proper English or Philippines abbreviations baggage limits. Waste of time on this airline and needed to haul baggage down stairs to gate. Gate at Manila Airport was extremely hot without air conditioning in February. The manager screamed and said it was not her job to provide customer support. No snacks, beverages or water at the gate even if it’s delayed."
Not Verified ,A350,Couple Leisure,Business Class,London to Kuala Lumpur,January 2024,5.0,5.0,5.0,3.0,5.0,5.0,5,yes,10,"  Great flight. Choice of lounges at Heathrow - Gulf Air or Qatar. We chose Qatar Airways lounge and although very busy enjoyed a lovely expresso martini at the cocktail area. Boarding was on time and we were greeted by very friendly cabin crew and shown to our seats. I had selected 4A and 6A as they offer more privacy. Welcome drinks were offered and then shortly after take off the famous satay snack offering. Flight was very comfortable but what really stood out for me was the exemplary cabin crew - courteous, smiling, engaging probably the best cabin crew I have encountered in my travels. Used the complimentary wi-fi which was excellent. Catering offered Malay and European dishes along with nice drinks selection. The only let down for me was the IFE film selection, not many new movies and a lot of children's movies. Despite the IFE issue I would 100% fly this airline again. Our return flight and several domestic flights were also excellent."
✅ Trip Verified ,,Business,Business Class,Kuala Lumpur to Incheon,March 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  I had a flight at 23:15 on March 3, but it was delayed 5 and a half hours to 4:45 am in the morning. As a result, I had to miss my Monday morning meeting and felt groggy all day. They did not provide a re-routing flight or offer a hotel in the terminal where I can rest. I had to stay in a noisy, smelly, and crowded Golden Lounge for 7 hours of waiting with screaming kids and loud guests - the worst business lounge in the world. There was only one staff handling hundreds of angry customers and from 22:21, I had to wait very long before I could ask for a re-routing flight with Korean Air at 23:50. By then, it was too late and the flight was full.  The staff was rude and unhelpful. This is the third time in my last trip that the flight has been delayed for 5 hours. It is impossible to schedule meetings since the management is totally incompetent and they do not have enough planes to cover all their routes."
✅ Trip Verified ,,Family Leisure,Economy Class,Kuala Lumpur to Perth,February 2024,,,,,,1.0,3,no,1,  Flight delayed with no communication on how long and now stuck in this hot box of a waiting area. Service has been sub standard the whole time. Flight here was equally as woeful with poor food and waking people up at 3am. Seems like Malaysian hospitality no longer means much. No preferential treatment for one world status which seems to be a dishonor of being a part of the group. Would not fly again by choice.
✅ Trip Verified ,A330,Solo Leisure,Economy Class,Sydney to Kuala Lumpur,January 2024,4.0,5.0,5.0,3.0,1.0,4.0,5,yes,9,"  This my second time flying with Malaysian Airlines since the Covid. Their services have certainly improved. I found them to be more attentive and responsive than prior to Covid. Food, is as usual, more than sufficient and tasty. Considering that they have to handle a crowded plane, I must commend them for their patience and efficiency. All in all, they deserved to be commended for their improved services. My only criticism is that their widely advertised Free Wifi is dysfunctional, or non-existent."
Not Verified ,A330-300,Solo Leisure,Economy Class,Perth to Kuala Lumpur via Mandurah,February 2024,2.0,2.0,2.0,2.0,1.0,1.0,1,no,1,"  Just absolutely rubbish, cancelled flight with no information provided. Unfriendly staff who don't make any effort to help you. Come back the next day after the cancelled flight to find myself sitting in the aircraft because of technical difficulties. Waiting for that one to be cancelled now. Obviously unsafe aircraft if they are having technical difficulties all the times."
✅ Trip Verified ,,Couple Leisure,Economy Class,Hanoi to Perth,February 2024,2.0,3.0,3.0,1.0,4.0,1.0,1,no,1, I had two flights to get from Hanoi to Perth. The first flight from Hanoi to KL. was cancelled due to technical issues. I was rebooked 24 hours later. Eventually made it to KL to have the second leg cancelled due to technical difficulties. Another overnight delay. Hotels were provided but only after very long waits and not well organised. I wonder if they have any planes that don’t have technical problems as I certainly didn’t get one.
✅ Trip Verified ,,Couple Leisure,Economy Class,Kuala Lumpur to Bangkok,February 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  Terrible, delayed due to bag offload and no air-conditioning on plane, like sauna. Terrible experience and shame as a country have such airline."
✅ Trip Verified ,A330-300,Couple Leisure,Economy Class,Kuala Lumpur to Sydney,February 2024,3.0,1.0,2.0,1.0,1.0,3.0,2,no,3,"  Bad quality food, fruit salad served not ripe and unfit for consumption. Cabin staff reluctant to serve hot drinks on an 8-hour flight, use the seat belt sign ON as an excuse, even when there is no turbulence. I have not flown on a flight with the seat belt sign ON unnecessarily by the captain for 6 out of 8 hours, when there was turbulence only for a limited time 30 minutes.  It happened on the outbound flight too SYD-KUL they used the same tactic seat bet sign ON and no hot drinks served and I gave them the benefit of the doubt.  Forced to accept rice breakfast on passengers which we are not used to with no other choice. We were seated in the front section of the cabin and the attitude was take it or leave it.  Wine was served in a leaky plastic cup, when requested for another glass, they just added another cup below the leaky cup. How do you drink wine with 2 cups?  Old entertainment system small selection of movies, the Captain and cabin staff have no concerns about damage to ears with announcements through the headphones which happens unnoticed."
✅ Trip Verified ,,Solo Leisure,Economy Class,London to Kuala Lumpur,February 2024,5.0,5.0,5.0,5.0,5.0,5.0,5,yes,8,"  I was pleasantly surprised by Malaysia airlines. The food was great, especially chicken in soy sauce. There was free WiFi and drinks incl alcoholic drinks. The cabin was clean and in immaculate condition. The service was super responsive."
✅ Trip Verified ,A330-323,Solo Leisure,Economy Class,Melbourne to Kuala Lumpur,February 2024,4.0,5.0,5.0,4.0,,5.0,5,yes,9,"  Really enjoyed a red-eye flight. Overall food was decent with chicken kebab for supper and a delicious nasi lemak for breakfast. The seat was comfortable but average in flight entertainment. The cabin crew were friendly, welcoming and cheerful. The overall boarding process was handled professionally."
✅ Trip Verified ,A350,Solo Leisure,Economy Class,London to Bangkok via Kuala Lumpur,December 2023,5.0,5.0,5.0,5.0,5.0,5.0,5,yes,9,"  I had a real smooth flight with Malaysia airlines. The food is excellent and the cabin crew are very friendly. I had a slight annoyance prior to departure which I wanted to mention. Malaysia Airlines has a programme where you can bid for an upgraded seat which I decided to do and I wish I never did. You find out 24hours before whether you have been successful. However it meant that I couldn’t check in on the website prior to departure. I like to have an aisle seat, so I make sure I check in. I couldn’t do that and I ended up with a middle seat. Which I was annoyed at, but overall the flight was still fine. I had a two hour delay connecting onward to Bangkok. Still I find them a fantastic airline."
✅ Trip Verified ,,Solo Leisure,Economy Class,Manila to Kuala Lumpur,February 2024,1.0,1.0,1.0,1.0,,1.0,1,no,1," Worst customer service on check in. Online check-in was not available in 2024. The counter staff was not accommodating and made me run in a circle and did not assist in any way, they were rude, blunt even the manager. She was very demanding and raised her voice. I felt threatened as a passenger would not recommend flying. It’s not a first class or four-star airline."
✅ Trip Verified ,,Solo Leisure,Economy Class,Melbourne to Tokyo via Kuala Lumpur,January 2024,2.0,2.0,2.0,,1.0,1.0,1,no,1," I am a photographer traveling to Melbourne, and the airline informed me that I cannot carry my camera gear as carry-on because it is overweight. They suggested I purchase an additional checked bag, but they asked for payment based on weight, amounting to 400 AUD. This is more expensive than buying a new ticket, which is what I ended up doing in the end. I understand there are additional charges but basing it on weight when it is less than a 23kg additional checked luggage is ridiculous!"
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Business Class,Kuala Lumpur to Langkawi,January 2024,4.0,5.0,5.0,2.0,2.0,5.0,5,yes,8,"  Flew business class domestic. A 50 minutes flight time. The seat was good, padding was soft and for less than one hour flight it was very confortable. Not sure for much longer flight. The crew was efficient, warm and welcoming. Satay and cold beverages were served for this short flight which was very good. The departure was a little bit behind schedule due to the congestion at KLIA and obviously not the airlines fault. Its not a 5 star service BUT definitely 4 or 4.5 star. Very high customer value for the price paid."
✅ Trip Verified ,A350,Solo Leisure,Economy Class,Bangkok to London Heathrow via Kuala Lumpur,January 2024,5.0,5.0,5.0,5.0,5.0,5.0,5,yes,10," This was my fourth trip flying with Malaysia Airlines and still they are the best airline I have ever flown with. The seats are comfy, food was tasty and staff very friendly. My first flight was a two hour flight from Bangkok to Kuala Lumpur. Fine no problems for a two hour hop. The flight from KUL to Heathrow was just short of 14 hours. Initially I thought I was going to really struggle with the length of this flight. However I had no issues and it didn’t drag at all. What is very handy is having access to all your messaging apps. That is brilliant and you can waste a few hours talking to friends or family. I was extremely impressed all round. I will happily fly with them again."
✅ Trip Verified ,A330,Solo Leisure,Business Class,Melbourne to Kuala Lumpur,January 2024,3.0,5.0,3.0,3.0,1.0,3.0,4,yes,7," When I made the booking the aircraft was an A350 but was later changed to an A330. Check-in was busy but OK. Marhaba lounge was basic. Boarding was delayed and take off a little bit late. The crew in my cabin were excellent, very engaging and proactive. Announcements onboard were the clearest I have ever heard on a flight. Food choices were not too appealing except for the satay. Drinks and snacks were offered throughout the flight. No Wi-Fi. IFE could be improved both in content and operation. For some reason MAS tends to leave the seat belt sign on for extended periods way after any turbulence is felt. I have noticed this on many of their flights. Luggage arrived promptly. Overall pretty good Malaysian hospitality."
Not Verified ,,Solo Leisure,Economy Class,Kathmandu to Sydney via Kuala Lumpur,January 2024,2.0,2.0,2.0,2.0,1.0,1.0,2,no,3," One of the worst airlines I travelled with. I was flying from Sydney to Kathmandu via Kuala Lumpur on 21st December. Flight was delayed. The Sydney international airport staff were unhelpful, no communication and the checkin process was absolutely terrible. The flight was delayed by 9 hours. Reached KL, the transit staff said the hotel was 1 hour away from the airport which was provisioned for the passengers on this delayed flight. Upon returning, in Kathmandu flight delayed..again no communication. Paid for a lounge and came to the gate as expected however got stuck at the gate with the delayed flight. This was the first time I flew Malaysia Airlines  and will never do it again."
